Scenario,Product,Product_Name,ProductID,Status
Scenario 1,NEW,Regular Mountain Dew,43835,Not Found
Scenario 1,NEW,Regular Mountain Dew,43851,Not Found
Scenario 1,NEW,Large Mountain Dew,43836,Not Found
Scenario 1,NEW,Large Mountain Dew,43852,Not Found
Scenario 1,NEW,1.25L Mountain Dew,43837,Not Found
Scenario 1,NEW,Regular Solo,43838,Not Found
Scenario 1,NEW,Regular Solo,43853,Not Found
Scenario 1,NEW,Large Solo,43839,Not Found
Scenario 1,NEW,Large Solo,43854,Not Found
Scenario 1,NEW,1.25L Solo,43840,Not Found
Scenario 1,NEW,Regular Sunkist No Sugar,43841,Not Found
Scenario 1,NEW,Large Sunkist No Sugar,43842,Not Found
Scenario 1,NEW,1.25L Sunkist No Sugar,43843,Not Found
Scenario 1,NEW,Regular Sunkist,43845,Not Found
Scenario 1,NEW,Large Sunkist,43846,Not Found
Scenario 1,NEW,Bottled Water,33219,Success
Scenario 1,NEW,Sparkling Water,33220,Success
Scenario 1,NEW,Apple Juice,33221,Success
Scenario 1,NEW,Lipton Peach Ice Tea,33222,Success
Scenario 1,NEW,Iced Mocha Koffee Krunch,33231,Success
Scenario 1,NEW,Iced Caramel Koffee Krunch,33232,Success
Scenario 1,NEW,Iced Latte,33225,Success
Scenario 1,NEW,Watermelon Boba Refresher~,33226,Success
Scenario 1,NEW,Cherry Boba Refresher~,33227,Success
Scenario 1,NEW,Chocolate Krunch Shake,33229,Success
Scenario 1,NEW,Caramel Krunch Shake,33228,Success
Scenario 1,NEW,Coconut Mango Krunch Shake,33230,Success
Scenario 1,NEW,Sparkling Raspberry Lemonade~,33224,Success
Scenario 1,NEW,Spicy Mango Lemonade~,33223,Success
Scenario 2,NEW,1 Piece of Chicken,32922,Success
Scenario 2,NEW,6 Pieces of Chicken,32923,Success
Scenario 2,NEW,21 Pieces of Chicken,32924,Success
Scenario 2,NEW,Original Crispy Fillet Piece,32929,Success
Scenario 2,NEW,3 Pieces Hot & Crispy™,32930,Success
Scenario 2,NEW,"6 Pieces Hot & Crispy™ ",32931,Success
